Id;Produto;Qte Vendida;Data;Loja; Preço Unitário ;Cor;Tamanho;Genero;;;;;;;;
19;Sapato Feminino;2;25/04/2021;Florianópolis - SC;R$ 144,00;Branco;44;F;;;;;;;;
20;Tênis;1;23/03/2021;Chapecó - SC;R$ 210,00;Verde;36;F;;;;;;;;
21;Tênis;1;08/01/2021;Goiânia - GO;R$ 212,99;Verde;40;M;;;;;;;;
22;Moda Adulta;5;13/03/2021;Maringá - PR;R$ 199,99;Azul;39;M;;;;;;;;
23;Moda Infantil;4;01/08/2021;Araçatuba - SP;R$ 510,99;Vermelho;38;F;;;;;;;;
24;Moda Bebe;3;16/10/2021;Belo Horizonte - MG;R$ 411,11;Rosa;12;M;;;;;;;;
25;Chinelos;5;16/02/2021;São Paulo - SP;R$ 220,00;Preto;1;F;;;;;;;;
26;Botas;3;27/02/2021;Salvador -BA;R$ 140,00;Branco;37;M;;;;;;;;
27;Tênis;2;17/09/2021;Rio de Janeiro - RJ;R$ 144,00;Verde;36;F;;;;;;;;
28;Sandália;5;22/10/2021;Campinas - SP;R$ 210,00;Verde;34;F;;;;;;;;
29;Chinelos;2;01/01/2021;Curitiba - PR;R$ 212,99;Azul;34;F;;;;;;;;
30;Moda Infantil;4;16/09/2021;Cascavel - PR;R$ 199,99;Vermelho;35;F;;;;;;;;
31;Sapato Masculino;4;04/12/2021;Florianópolis - SC;R$ 510,99;Rosa;36;M;;;;;;;;
32;Sapato Feminino;5;17/08/2021;Chapecó - SC;R$ 411,11;Preto;22;M;;;;;;;;
33;Tênis;2;04/04/2021;Goiânia - GO;R$ 436,33;Branco;44;F;;;;;;;;
34;Tênis;2;28/07/2021;Maringá - PR;R$ 476,38;Verde;M;M;;;;;;;;
35;Moda Adulta;1;13/09/2021;Araçatuba - SP;R$ 516,42;Verde;40;F;;;;;;;;
36;Moda Infantil;1;13/04/2021;Belo Horizonte - MG;R$ 556,46;Azul;39;M;;;;;;;;
37;Moda Bebe;5;14/09/2021;São Paulo - SP;R$ 596,51;Vermelho;38;F;;;;;;;;
38;Chinelos;4;15/08/2021;Salvador -BA;R$ 636,55;Rosa;12;F;;;;;;;;
39;Botas;3;31/01/2021;Rio de Janeiro - RJ;R$ 676,60;Preto;1;F;;;;;;;;
40;Tênis;5;23/11/2021;Campinas - SP;R$ 716,64;Branco;37;F;;;;;;;;
41;Sandália;3;14/02/2021;Curitiba - PR;R$ 756,68;Verde;36;M;;;;;;;;
42;Chinelos;2;01/01/2021;Cascavel - PR;R$ 510,99;Verde;34;M;;;;;;;;
43;Moda Infantil;5;30/01/2021;Florianópolis - SC;R$ 411,11;Azul;34;F;;;;;;;;
44;Sapato Masculino;2;25/04/2021;Chapecó - SC;R$ 220,00;Vermelho;35;M;;;;;;;;
45;Sapato Feminino;4;17/02/2021;Goiânia - GO;R$ 140,00;Rosa;36;F;;;;;;;;
46;Moda Bebe;4;12/10/2021;Maringá - PR;R$ 144,00;Preto;22;M;;;;;;;;
47;Chinelos;5;25/05/2021;Araçatuba - SP;R$ 210,00;Branco;44;F;;;;;;;;
48;Botas;2;16/11/2021;Belo Horizonte - MG;R$ 212,99;Verde;36;F;;;;;;;;
49;Tênis;2;11/05/2021;São Paulo - SP;R$ 199,99;Verde;40;F;;;;;;;;
50;Sandália;1;20/06/2021;Salvador -BA;R$ 510,99;Azul;39;F;;;;;;;;
51;Chinelos;1;15/11/2021;Rio de Janeiro - RJ;R$ 411,11;Vermelho;38;M;;;;;;;;
52;Moda Infantil;5;03/10/2021;Campinas - SP;R$ 436,33;Rosa;12;M;;;;;;;;
53;Sapato Masculino;4;14/11/2021;Curitiba - PR;R$ 476,38;Preto;1;F;;;;;;;;
54;Tênis;3;08/01/2021;Cascavel - PR;R$ 516,42;Branco;37;M;;;;;;;;
34;Tênis;2;28/07/2021;Maringá - PR;R$ 476,38;Verde;M;M;;;;;;;;
56;Chinelos;3;07/11/2021;Chapecó - SC;R$ 596,51;Verde;34;M;;;;;;;;
57;Moda Infantil;2;29/04/2021;Goiânia - GO;R$ 636,55;Azul;34;F;;;;;;;;
58;Sapato Masculino;5;01/01/2021;Maringá - PR;R$ 676,60;Vermelho;35;F;;;;;;;;
59;Sapato Feminino;2;23/01/2021;Araçatuba - SP;R$ 716,64;Rosa;36;F;;;;;;;;
60;Tênis;4;28/01/2021;Belo Horizonte - MG;R$ 756,68;Preto;22;F;;;;;;;;
61;Tênis;4;11/03/2021;São Paulo - SP;R$ 510,99;Branco;44;M;;;;;;;;
62;Moda Adulta;5;05/09/2021;Salvador -BA;R$ 411,11;Verde;36;M;;;;;;;;
63;Moda Infantil;2;06/03/2021;Rio de Janeiro - RJ;R$ 220,00;Verde;40;F;;;;;;;;
64;Moda Bebe;2;31/12/2021;Campinas - SP;R$ 140,00;Azul;39;M;;;;;;;;
65;Chinelos;1;20/07/2021;Curitiba - PR;R$ 144,00;Vermelho;38;F;;;;;;;;
66;Botas;1;04/12/2021;Cascavel - PR;R$ 210,00;Rosa;12;M;;;;;;;;
67;Tênis;5;29/12/2021;Florianópolis - SC;R$ 212,99;Preto;1;F;;;;;;;;
68;Sandália;4;14/10/2021;Chapecó - SC;R$ 199,99;Branco;37;F;;;;;;;;
69;Chinelos;3;28/09/2021;Goiânia - GO;R$ 510,99;Verde;36;F;;;;;;;;
70;Moda Infantil;5;21/03/2021;Maringá - PR;R$ 411,11;Verde;34;F;;;;;;;;
71;Sapato Masculino;3;31/03/2021;Araçatuba - SP;R$ 436,33;Azul;34;M;;;;;;;;
72;Sapato Feminino;2;19/07/2021;Belo Horizonte - MG;R$ 476,38;Vermelho;35;M;;;;;;;;
73;Tênis;5;10/08/2021;São Paulo - SP;R$ 516,42;Rosa;36;F;;;;;;;;
74;Tênis;2;10/05/2021;Salvador -BA;R$ 556,46;Preto;22;M;;;;;;;;
75;Moda Adulta;4;16/09/2021;Rio de Janeiro - RJ;R$ 596,51;Branco;44;F;;;;;;;;
76;Moda Bebe;4;26/02/2021;Campinas - SP;R$ 636,55;Verde;36;M;;;;;;;;
77;Chinelos;5;04/06/2021;Curitiba - PR;R$ 676,60;Verde;40;F;;;;;;;;
78;Botas;2;11/02/2021;Cascavel - PR;R$ 716,64;Azul;39;F;;;;;;;;
79;Tênis;2;06/09/2021;Florianópolis - SC;R$ 756,68;Vermelho;38;F;;;;;;;;
80;Sandália;1;23/01/2021;Chapecó - SC;R$ 510,99;Rosa;12;F;;;;;;;;
81;Chinelos;1;07/02/2021;Goiânia - GO;R$ 411,11;Preto;1;M;;;;;;;;
82;Moda Infantil;5;23/12/2021;Maringá - PR;R$ 220,00;Branco;37;M;;;;;;;;
83;Sapato Masculino;4;30/10/2021;Araçatuba - SP;R$ 140,00;Verde;36;F;;;;;;;;
84;Sapato Feminino;5;03/07/2021;Belo Horizonte - MG;R$ 144,00;Verde;34;M;;;;;;;;
85;Tênis;2;08/11/2021;Belo Horizonte - MG;R$ 210,00;Azul;34;F;;;;;;;;
86;Tênis;2;26/03/2021;São Paulo - SP;R$ 212,99;Vermelho;35;M;;;;;;;;
87;Sandália;1;26/12/2021;Salvador -BA;R$ 199,99;Rosa;36;F;;;;;;;;
88;Chinelos;1;25/09/2021;Rio de Janeiro - RJ;R$ 510,99;Preto;22;F;;;;;;;;
89;Moda Infantil;5;07/12/2021;Campinas - SP;R$ 411,11;Branco;44;F;;;;;;;;
90;Sapato Masculino;4;09/04/2021;Curitiba - PR;R$ 436,33;Verde;36;F;;;;;;;;
91;Tênis;3;22/10/2021;Cascavel - PR;R$ 476,38;Verde;40;M;;;;;;;;
92;Sandália;5;09/03/2021;Florianópolis - SC;R$ 516,42;Azul;39;M;;;;;;;;
93;Chinelos;3;16/08/2021;Chapecó - SC;R$ 556,46;Vermelho;38;F;;;;;;;;
94;Moda Infantil;2;17/09/2021;Goiânia - GO;R$ 596,51;Rosa;12;M;;;;;;;;
95;Sapato Masculino;5;01/07/2021;Maringá - PR;R$ 636,55;Preto;41;F;;;;;;;;
96;Sapato Feminino;2;15/01/2021;Araçatuba - SP;R$ 676,60;Branco;37;M;;;;;;;;
34;Tênis;2;28/07/2021;Maringá - PR;R$ 476,38;Verde;M;M;;;;;;;;
98;Tênis;4;21/04/2021;Cascavel - PR;R$ 756,68;Verde;34;F;;;;;;;;
34;Tênis;2;28/07/2021;Maringá - PR;R$ 476,38;Verde;M;M;;;;;;;;
100;Moda Infantil;2;28/07/2021;Chapecó - SC;R$ 543,13;Vermelho;35;F;;;;;;;;
101;Moda Bebe;2;16/07/2021;Goiânia - GO;R$ 546,09;Rosa;36;M;;;;;;;;
102;Chinelos;1;28/06/2021;Maringá - PR;R$ 140,00;Preto;22;M;;;;;;;;
103;Botas;1;25/11/2021;Araçatuba - SP;R$ 144,00;Branco;44;F;;;;;;;;
104;Tênis;5;10/02/2021;Belo Horizonte - MG;R$ 210,00;Verde;36;M;;;;;;;;
105;Sandália;4;03/02/2021;São Paulo - SP;R$ 212,99;Verde;40;F;;;;;;;;
106;Chinelos;3;09/01/2021;Salvador -BA;R$ 247,99;Azul;39;M;;;;;;;;
107;Moda Infantil;5;19/11/2021;Salvador -BA;R$ 276,49;Vermelho;38;F;;;;;;;;
108;Sapato Masculino;3;27/10/2021;Rio de Janeiro - RJ;R$ 304,98;Rosa;12;F;;;;;;;;
109;Sapato Feminino;2;01/05/2021;Campinas - SP;R$ 333,48;Preto;1;F;;;;;;;;
110;Tênis;5;23/10/2021;Curitiba - PR;R$ 361,98;Branco;37;F;;;;;;;;
111;Tênis;2;19/02/2021;Cascavel - PR;R$ 220,00;Verde;36;M;;;;;;;;
112;Moda Adulta;4;19/08/2021;Florianópolis - SC;R$ 140,00;Verde;34;M;;;;;;;;
113;Moda Infantil;4;08/11/2021;Chapecó - SC;R$ 144,00;Azul;34;F;;;;;;;;
114;Moda Bebe;5;10/02/2021;Goiânia - GO;R$ 210,00;Vermelho;35;M;;;;;;;;
115;Chinelos;2;02/08/2021;Maringá - PR;R$ 212,99;Rosa;36;F;;;;;;;;
116;Botas;2;04/08/2021;Araçatuba - SP;R$ 199,99;Preto;22;M;;;;;;;;
117;Tênis;1;22/10/2021;Belo Horizonte - MG;R$ 510,99;Branco;44;F;;;;;;;;
118;Sandália;1;14/11/2021;Salvador -BA;R$ 411,11;Verde;36;F;;;;;;;;
119;Chinelos;5;09/10/2021;Rio de Janeiro - RJ;R$ 220,00;Verde;40;F;;;;;;;;
34;Tênis;2;28/07/2021;Maringá - PR;R$ 476,38;Verde;M;M;;;;;;;;
121;Sapato Masculino;3;27/04/2021;Curitiba - PR;R$ 144,00;Vermelho;38;M;;;;;;;;
122;Sapato Feminino;5;16/02/2021;Cascavel - PR;R$ 210,00;Rosa;12;M;;;;;;;;
123;Tênis;3;04/12/2021;Florianópolis - SC;R$ 212,99;Preto;1;F;;;;;;;;
124;Tênis;2;27/02/2021;Chapecó - SC;R$ 199,99;Branco;37;M;;;;;;;;
125;Moda Adulta;5;20/10/2021;Goiânia - GO;R$ 510,99;Verde;36;F;;;;;;;;
126;Moda Infantil;2;08/05/2021;Maringá - PR;R$ 411,11;Verde;34;M;;;;;;;;
127;Moda Bebe;4;02/11/2021;Araçatuba - SP;R$ 220,00;Azul;34;F;;;;;;;;
128;Chinelos;4;20/05/2021;Belo Horizonte - MG;R$ 140,00;Vermelho;35;F;;;;;;;;
129;Botas;5;24/11/2021;São Paulo - SP;R$ 144,00;Rosa;36;F;;;;;;;;
130;Tênis;2;13/11/2021;Salvador -BA;R$ 210,00;Preto;22;F;;;;;;;;
131;Sandália;2;14/07/2021;Rio de Janeiro - RJ;R$ 212,99;Branco;44;M;;;;;;;;
132;Chinelos;1;13/01/2021;Campinas - SP;R$ 199,99;Verde;36;M;;;;;;;;
133;Moda Infantil;1;19/09/2021;Curitiba - PR;R$ 510,99;Verde;40;F;;;;;;;;
134;Sapato Masculino;5;10/11/2021;Cascavel - PR;R$ 411,11;Azul;39;M;;;;;;;;
135;Sapato Feminino;4;08/04/2021;Florianópolis - SC;R$ 220,00;Vermelho;38;F;;;;;;;;
136;Moda Bebe;3;31/01/2021;Chapecó - SC;R$ 140,00;Rosa;12;M;;;;;;;;
137;Chinelos;5;17/10/2021;Goiânia - GO;R$ 144,00;Preto;1;F;;;;;;;;
138;Botas;3;02/12/2021;Maringá - PR;R$ 210,00;Branco;37;F;;;;;;;;
139;Tênis;2;25/10/2021;Araçatuba - SP;R$ 212,99;Verde;36;F;;;;;;;;
34;Tênis;2;28/07/2021;Maringá - PR;R$ 476,38;Verde;M;M;;;;;;;;
141;Chinelos;2;22/12/2021;São Paulo - SP;R$ 510,99;Azul;34;M;;;;;;;;
142;Moda Infantil;4;03/03/2021;Salvador -BA;R$ 411,11;Vermelho;35;M;;;;;;;;
143;Sapato Masculino;4;22/06/2021;Rio de Janeiro - RJ;R$ 436,33;Rosa;36;F;;;;;;;;
144;Tênis;5;30/09/2021;Campinas - SP;R$ 476,38;Preto;22;M;;;;;;;;
145;Sandália;2;17/02/2021;Curitiba - PR;R$ 516,42;Branco;44;F;;;;;;;;
146;Chinelos;2;01/09/2021;Cascavel - PR;R$ 556,46;Verde;36;M;;;;;;;;
147;Moda Infantil;1;17/01/2021;Florianópolis - SC;R$ 596,51;Verde;40;F;;;;;;;;
148;Sapato Masculino;1;04/12/2021;Chapecó - SC;R$ 636,55;Azul;39;F;;;;;;;;
149;Sapato Feminino;5;14/11/2021;Goiânia - GO;R$ 676,60;Vermelho;38;F;;;;;;;;
150;Tênis;4;05/11/2021;Maringá - PR;R$ 716,64;Rosa;12;F;;;;;;;;
151;Tênis;3;09/09/2021;Araçatuba - SP;R$ 756,68;Preto;1;M;;;;;;;;
152;Moda Adulta;5;18/10/2021;Belo Horizonte - MG;R$ 510,99;Branco;37;M;;;;;;;;
153;Moda Infantil;3;29/09/2021;São Paulo - SP;R$ 411,11;Verde;36;F;;;;;;;;
154;Moda Bebe;2;10/11/2021;Salvador -BA;R$ 220,00;Verde;34;M;;;;;;;;
155;Chinelos;5;16/08/2021;Rio de Janeiro - RJ;R$ 140,00;Azul;34;F;;;;;;;;
156;Botas;2;03/06/2021;Campinas - SP;R$ 144,00;Vermelho;35;M;;;;;;;;
157;Tênis;4;18/12/2021;Curitiba - PR;R$ 210,00;Rosa;36;F;;;;;;;;
158;Sandália;4;09/01/2021;Cascavel - PR;R$ 212,99;Preto;22;F;;;;;;;;
159;Chinelos;5;22/11/2021;Florianópolis - SC;R$ 199,99;Branco;44;F;;;;;;;;
160;Moda Infantil;2;25/08/2021;Chapecó - SC;R$ 510,99;Verde;36;F;;;;;;;;
34;Tênis;2;28/07/2021;Maringá - PR;R$ 476,38;Verde;M;M;;;;;;;;
162;Sapato Feminino;1;07/03/2021;Maringá - PR;R$ 436,33;Azul;39;M;;;;;;;;
163;Tênis;1;13/10/2021;Araçatuba - SP;R$ 476,38;Vermelho;38;F;;;;;;;;
164;Tênis;5;30/10/2021;Belo Horizonte - MG;R$ 516,42;Rosa;12;M;;;;;;;;
165;Moda Adulta;4;02/12/2021;São Paulo - SP;R$ 556,46;Preto;1;F;;;;;;;;
166;Moda Bebe;3;26/05/2021;Salvador -BA;R$ 596,51;Branco;37;M;;;;;;;;
167;Chinelos;5;27/06/2021;Rio de Janeiro - RJ;R$ 636,55;Verde;36;F;;;;;;;;
168;Botas;3;29/07/2021;Campinas - SP;R$ 676,60;Verde;34;F;;;;;;;;
169;Tênis;2;16/04/2021;Curitiba - PR;R$ 716,64;Azul;34;F;;;;;;;;
170;Sandália;5;05/09/2021;Cascavel - PR;R$ 756,68;Vermelho;35;F;;;;;;;;
171;Chinelos;2;05/01/2021;Florianópolis - SC;R$ 510,99;Rosa;36;M;;;;;;;;
172;Moda Infantil;4;01/04/2021;Chapecó - SC;R$ 411,11;Preto;22;M;;;;;;;;
173;Sapato Masculino;4;12/07/2021;Goiânia - GO;R$ 220,00;Branco;44;F;;;;;;;;
174;Sapato Feminino;5;07/11/2021;Maringá - PR;R$ 140,00;Verde;36;M;;;;;;;;
175;Tênis;2;14/05/2021;Araçatuba - SP;R$ 144,00;Verde;40;F;;;;;;;;
176;Tênis;2;09/09/2021;Belo Horizonte - MG;R$ 210,00;Azul;39;M;;;;;;;;
34;Tênis;2;Null;Maringá - PR;R$ 476,38;Verde;M;M;;;;;;;;
178;Chinelos;1;27/11/2021;Salvador -BA;R$ 199,99;Rosa;12;F;;;;;;;;
179;Moda Infantil;5;22/07/2021;Rio de Janeiro - RJ;R$ 510,99;Preto;1;F;;;;;;;;
180;Sapato Masculino;4;17/12/2021;Campinas - SP;R$ 411,11;Branco;37;F;;;;;;;;
181;Tênis;3;20/02/2021;Curitiba - PR;R$ 436,33;Verde;36;M;;;;;;;;
182;Sandália;5;04/11/2021;Cascavel - PR;R$ 476,38;Verde;34;M;;;;;;;;
183;Chinelos;3;08/03/2021;Florianópolis - SC;R$ 516,42;Azul;34;F;;;;;;;;
184;Moda Infantil;2;01/06/2021;Chapecó - SC;R$ 556,46;Vermelho;35;M;;;;;;;;
185;Sapato Masculino;5;25/11/2021;Goiânia - GO;R$ 596,51;Rosa;36;F;;;;;;;;
186;Sapato Feminino;2;26/02/2021;Maringá - PR;R$ 636,55;Preto;22;M;;;;;;;;
187;Tênis;4;23/09/2021;Araçatuba - SP;R$ 676,60;Branco;44;F;;;;;;;;
188;Tênis;4;23/11/2021;Belo Horizonte - MG;R$ 716,64;Verde;36;F;;;;;;;;
189;Moda Adulta;5;06/10/2021;São Paulo - SP;R$ 756,68;Verde;40;F;;;;;;;;
190;Moda Infantil;2;19/11/2021;Salvador -BA;R$ 510,99;Azul;39;F;;;;;;;;
191;Moda Bebe;2;30/11/2021;Rio de Janeiro - RJ;R$ 411,11;Vermelho;38;M;;;;;;;;
192;Chinelos;1;03/06/2021;Campinas - SP;R$ 220,00;Rosa;12;M;;;;;;;;
193;Botas;1;24/03/2021;Curitiba - PR;R$ 140,00;Preto;41;F;;;;;;;;
194;Tênis;5;29/07/2021;Cascavel - PR;R$ 144,00;Branco;37;M;;;;;;;;
195;Sandália;4;23/10/2021;Florianópolis - SC;R$ 210,00;Verde;36;F;;;;;;;;
196;Chinelos;3;15/02/2021;Chapecó - SC;R$ 212,99;Verde;34;M;;;;;;;;
197;Moda Infantil;5;31/12/2021;Goiânia - GO;R$ 199,99;Azul;34;F;;;;;;;;
198;Sapato Masculino;3;05/01/2021;Maringá - PR;R$ 510,99;Vermelho;35;F;;;;;;;;
199;Sapato Feminino;2;13/02/2021;Araçatuba - SP;R$ 411,11;Rosa;36;F;;;;;;;;
200;Tênis;5;26/05/2021;Belo Horizonte - MG;R$ 436,33;Preto;22;F;;;;;;;;
201;Tênis;2;05/09/2021;São Paulo - SP;R$ 476,38;Branco;44;M;;;;;;;;
202;Moda Adulta;4;13/08/2021;Salvador -BA;R$ 516,42;Verde;36;M;;;;;;;;
203;Moda Infantil;4;16/10/2021;Rio de Janeiro - RJ;R$ 556,46;Verde;40;F;;;;;;;;
204;Moda Bebe;5;10/09/2021;Campinas - SP;R$ 596,51;Azul;39;M;;;;;;;;
205;Chinelos;2;02/11/2021;Curitiba - PR;R$ 636,55;Vermelho;38;F;;;;;;;;
206;Botas;2;24/01/2021;Cascavel - PR;R$ 676,60;Rosa;12;M;;;;;;;;
207;Tênis;1;02/09/2021;Florianópolis - SC;R$ 716,64;Preto;1;F;;;;;;;;
208;Sandália;1;27/02/2021;Chapecó - SC;R$ 756,68;Branco;37;F;;;;;;;;
209;Chinelos;5;12/12/2021;Goiânia - GO;R$ 540,18;Verde;36;F;;;;;;;;
210;Moda Infantil;4;26/01/2021;Maringá - PR;R$ 543,13;Verde;34;F;;;;;;;;
211;Sapato Masculino;3;03/11/2021;Araçatuba - SP;R$ 546,09;Azul;34;M;;;;;;;;
212;Sapato Feminino;5;09/04/2021;Belo Horizonte - MG;R$ 140,00;Vermelho;35;M;;;;;;;;
213;Tênis;3;21/02/2021;Belo Horizonte - MG;R$ 144,00;Rosa;36;F;;;;;;;;
214;Tênis;2;05/02/2021;São Paulo - SP;R$ 210,00;Preto;22;M;;;;;;;;
215;Moda Adulta;5;16/10/2021;Salvador -BA;R$ 212,99;Branco;44;F;;;;;;;;
216;Moda Infantil;2;14/02/2021;Rio de Janeiro - RJ;R$ 247,99;Verde;36;M;;;;;;;;
217;Moda Bebe;4;03/02/2021;Campinas - SP;R$ 276,49;Verde;40;F;;;;;;;;
218;Chinelos;4;23/11/2021;Curitiba - PR;R$ 304,98;Azul;39;F;;;;;;;;
219;Botas;5;15/07/2021;Cascavel - PR;R$ 333,48;Vermelho;38;F;;;;;;;;
220;Tênis;2;27/05/2021;Florianópolis - SC;R$ 361,98;Rosa;12;F;;;;;;;;
221;Sandália;2;17/04/2021;Chapecó - SC;R$ 220,00;Preto;1;M;;;;;;;;
222;Chinelos;1;27/02/2021;Goiânia - GO;R$ 140,00;Branco;37;M;;;;;;;;
223;Moda Infantil;1;09/03/2021;Maringá - PR;R$ 144,00;Verde;36;F;;;;;;;;
224;Sapato Masculino;5;18/10/2021;Araçatuba - SP;R$ 210,00;Verde;34;M;;;;;;;;
225;Sapato Feminino;4;18/03/2021;Belo Horizonte - MG;R$ 212,99;Azul;34;F;;;;;;;;
226;Moda Bebe;3;06/11/2021;Cascavel - PR;R$ 199,99;Vermelho;35;M;;;;;;;;
227;Chinelos;5;19/12/2021;Florianópolis - SC;R$ 510,99;Rosa;36;F;;;;;;;;
228;Botas;3;16/07/2021;Chapecó - SC;R$ 411,11;Preto;22;F;;;;;;;;
229;Tênis;2;27/02/2021;Goiânia - GO;R$ 220,00;Branco;44;F;;;;;;;;
230;Sandália;5;28/05/2021;Maringá - PR;R$ 140,00;Verde;36;F;;;;;;;;
231;Chinelos;2;08/01/2021;Araçatuba - SP;R$ 144,00;Verde;40;M;;;;;;;;
232;Moda Infantil;4;08/01/2021;Belo Horizonte - MG;R$ 210,00;Azul;39;M;;;;;;;;
233;Sapato Masculino;4;13/12/2021;São Paulo - SP;R$ 212,99;Vermelho;38;F;;;;;;;;
234;Tênis;5;16/01/2021;Salvador -BA;R$ 199,99;Rosa;12;M;;;;;;;;
235;Sandália;2;05/07/2021;Salvador -BA;R$ 510,99;Preto;1;F;;;;;;;;
236;Chinelos;2;06/06/2021;Rio de Janeiro - RJ;R$ 411,11;Branco;37;M;;;;;;;;
237;Moda Infantil;1;12/04/2021;Campinas - SP;R$ 220,00;Verde;36;F;;;;;;;;
238;Sapato Masculino;1;17/12/2021;Curitiba - PR;R$ 140,00;Verde;34;F;;;;;;;;
239;Sapato Feminino;5;08/12/2021;Cascavel - PR;R$ 144,00;Azul;34;F;;;;;;;;
240;Tênis;4;12/04/2021;Florianópolis - SC;R$ 210,00;Vermelho;35;F;;;;;;;;
241;Tênis;3;21/09/2021;Chapecó - SC;R$ 212,99;Rosa;36;M;;;;;;;;
242;Moda Adulta;5;12/05/2021;Goiânia - GO;R$ 199,99;Preto;22;M;;;;;;;;
243;Moda Infantil;3;17/12/2021;Maringá - PR;R$ 510,99;Branco;44;F;;;;;;;;
244;Moda Bebe;2;20/03/2021;Araçatuba - SP;R$ 411,11;Verde;36;M;;;;;;;;
245;Chinelos;5;21/05/2021;Belo Horizonte - MG;R$ 220,00;Verde;40;F;;;;;;;;
246;Botas;2;13/08/2021;Salvador -BA;R$ 140,00;Azul;39;M;;;;;;;;
247;Tênis;4;21/01/2021;Rio de Janeiro - RJ;R$ 144,00;Vermelho;38;F;;;;;;;;
248;Sandália;4;05/02/2021;Campinas - SP;R$ 210,00;Rosa;12;F;;;;;;;;
249;Chinelos;5;27/01/2021;Curitiba - PR;R$ 212,99;Preto;1;F;;;;;;;;
250;Moda Infantil;2;01/10/2021;Cascavel - PR;R$ 199,99;Branco;37;F;;;;;;;;
251;Sapato Masculino;2;16/01/2021;Florianópolis - SC;R$ 510,99;Verde;36;M;;;;;;;;
252;Sapato Feminino;1;14/08/2021;Chapecó - SC;R$ 411,11;Verde;34;M;;;;;;;;
253;Tênis;1;17/01/2021;Goiânia - GO;R$ 436,33;Azul;34;F;;;;;;;;
254;Tênis;5;12/10/2021;Maringá - PR;R$ 476,38;Vermelho;35;M;;;;;;;;
34;Tênis;2;Null;Maringá - PR;R$ 476,38;Verde;M;M;;;;;;;;
256;Moda Bebe;3;24/09/2021;Belo Horizonte - MG;R$ 556,46;Preto;22;M;;;;;;;;
257;Chinelos;5;17/06/2021;São Paulo - SP;R$ 596,51;Branco;44;F;;;;;;;;
258;Botas;3;12/03/2021;Salvador -BA;R$ 636,55;Verde;36;F;;;;;;;;
259;Tênis;2;20/08/2021;Rio de Janeiro - RJ;R$ 676,60;Verde;40;F;;;;;;;;
260;Sandália;5;05/03/2021;Campinas - SP;R$ 716,64;Azul;39;F;;;;;;;;
261;Chinelos;2;04/09/2021;Curitiba - PR;R$ 756,68;Vermelho;38;M;;;;;;;;
262;Moda Infantil;4;28/01/2021;Cascavel - PR;R$ 510,99;Rosa;12;M;;;;;;;;
263;Sapato Masculino;4;18/01/2021;Florianópolis - SC;R$ 411,11;Preto;1;F;;;;;;;;
264;Sapato Feminino;5;11/03/2021;Chapecó - SC;R$ 220,00;Branco;37;M;;;;;;;;
265;Tênis;2;04/07/2021;Goiânia - GO;R$ 140,00;Verde;36;F;;;;;;;;
266;Tênis;2;26/10/2021;Maringá - PR;R$ 144,00;Verde;34;M;;;;;;;;
267;Sandália;1;25/04/2021;Araçatuba - SP;R$ 210,00;Azul;34;F;;;;;;;;
268;Chinelos;1;08/04/2021;Belo Horizonte - MG;R$ 212,99;Vermelho;35;F;;;;;;;;
269;Moda Infantil;5;05/04/2021;São Paulo - SP;R$ 199,99;Rosa;36;F;;;;;;;;
